Course,University,Location,Subject,Link
Advanced Signal Processing and Communications Engineering MSc,FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4661/
"Applied AI for Digital Production Management, MEng",Deggendorf Institute of Technology,Cham,Industrial Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9024/
MSc Advanced Optical Technologies (MAOT),FAU Erlangen-Nürnberg,Erlangen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4046/
Natural Hazards and Risks in Structural Engineering (NHRE),Bauhaus-Universität Weimar,Weimar,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3612/
Applied Geosciences – Applied Mineralogy and Crystallography (AMC),RWTH Aachen University,Aachen,Earth Sciences (excluding Geography),www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6917/
Applied Biotechnology,Ansbach University of Applied Sciences,Ansbach,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7251/
Microelectronics and Microsystems,Hamburg University of Technology,Hamburg,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3751/
Engineering of Hydro-Environmental Extremes (HDE),University of Siegen,Siegen,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9179/
Hybrid Electric Propulsion Technology,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9255/
Mechatronics,University of Siegen,Siegen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3782/
MSc Autonomy Technologies,FAU Erlangen-Nürnberg,Erlangen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8925/
Bionics MSc,Rhine-Waal University of Applied Sciences,Kleve,Biology,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4224/
Maritime Operations,University of Applied Sciences Emden/Leer,Leer (Ostfriesland),"Transport Engineering, Nautical Science",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4807/
Biomedical Engineering (MSc),Hamburg University of Applied Sciences,Hamburg,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4025/
Electrical Engineering,Kempten University of Applied Sciences,Kempten (Allgäu),Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4140/
EMMaH – European Master of Medical Technology and Healthcare Business (MSc),Hamburg University of Applied Sciences,Hamburg,Medicine in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5433/
Environmental and Recycling Technology,Nordhausen University of Applied Sciences,Nordhausen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9013/
International Master's in Biomedical Engineering (BME),Anhalt University of Applied Sciences,Köthen / Anhalt,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7599/
